"Month","Total_Hires"
"2010-08",341203
"2010-09",540859
"2010-10",544412
"2010-11",456304
"2010-12",285574
"2011-01",403178
"2011-02",398292
"2011-03",556155
"2011-04",673639
"2011-05",722072
"2011-06",638717
"2011-07",708454
"2011-08",642440
"2011-09",684780
"2011-10",708802
"2011-11",597191
"2011-12",408729
"2012-01",494325
"2012-02",481826
"2012-03",818209
"2012-04",649473
"2012-05",926952
"2012-06",858805
"2012-07",1014174
"2012-08",1163171
"2012-09",1015145
"2012-10",856866
"2012-11",726893
"2012-12",513444
"2013-01",565589
"2013-02",516588
"2013-03",504611
"2013-04",658230
"2013-05",749934
"2013-06",813631
"2013-07",998755
"2013-08",904155
"2013-09",701724
"2013-10",674154
"2013-11",514146
"2013-12",443942
"2014-01",493870
"2014-02",522940
"2014-03",757864
"2014-04",805571
"2014-05",890709
"2014-06",1052573
"2014-07",1183182
"2014-08",1055206
"2014-09",1058684
"2014-10",907998
"2014-11",715447
"2014-12",579853
"2015-01",583663
"2015-02",549278
"2015-03",701384
"2015-04",838543
"2015-05",899969
"2015-06",1039768
"2015-07",1134816
"2015-08",1042932
"2015-09",903429
"2015-10",885375
"2015-11",684518
"2015-12",608164
"2016-01",586325
"2016-02",597641
"2016-03",664485
"2016-04",763308
"2016-05",1013666
"2016-06",963232
"2016-07",1188428
"2016-08",1158393
"2016-09",1053039
"2016-10",945143
"2016-11",711002
"2016-12",658975
"2017-01",638491
"2017-02",618550
"2017-03",819752
"2017-04",917716
"2017-05",992601
"2017-06",1098294
"2017-07",1131838
"2017-08",994199
"2017-09",934751
"2017-10",973682
"2017-11",792082
"2017-12",534088
"2018-01",645901
"2018-02",576425
"2018-03",604921
"2018-04",824737
"2018-05",1112686
"2018-06",1181642
"2018-07",1253102
"2018-08",1058181
"2018-09",1008201
"2018-10",978290
"2018-11",738024
"2018-12",585430
"2019-01",685798
"2019-02",698917
"2019-03",792272
"2019-04",890148
"2019-05",1006547
"2019-06",1006434
"2019-07",1152150
"2019-08",1053921
"2019-09",965581
"2019-10",851999
"2019-11",729111
"2019-12",592077
"2020-01",709673
"2020-02",641128
"2020-03",553648
"2020-04",591294
"2020-05",1121435
"2020-06",1158560
"2020-07",1170060
"2020-08",1153276
"2020-09",1137524
"2020-10",848233
"2020-11",760245
"2020-12",589091
"2021-01",409887
"2021-02",511046
"2021-03",748511
"2021-04",943760
"2021-05",921988
"2021-06",1183634
"2021-07",1168166
"2021-08",1111134
"2021-09",1220318
"2021-10",1110571
"2021-11",945047
"2021-12",667202
"2022-01",748502
"2022-02",749898
"2022-03",1056720
"2022-04",1031077
"2022-05",1201054
"2022-06",1280180
"2022-07",1315801
"2022-08",1259932
"2022-09",800950
"2022-10",864369
"2022-11",725556
"2022-12",471833
"2023-01",571133
"2023-02",613325
"2023-03",630605
"2023-04",646899
"2023-05",821433
"2023-06",884730
"2023-07",808688
"2023-08",778336
"2023-09",847108
"2023-10",789807
"2023-11",664981
"2023-12",474123
"2024-01",558837
"2024-02",568039
"2024-03",647372
"2024-04",685246
"2024-05",822970
"2024-06",869330
"2024-07",883624
"2024-08",871747
"2024-09",791965
"2024-10",830977
"2024-11",711622
"2024-12",526509
"2025-01",567948
"2025-02",574179
"2025-03",774887
"2025-04",761213
"2025-05",859493
"2025-06",857355
"2025-07",898482
"2025-08",804598
"2025-09",866359
"2025-10",830472
"2025-11",713012
"2025-12",558556
"2026-01",576926
"2026-02",564567
"2026-03",756962
