Month,Total_Hires,Transformed_Hires
2010 Aug,341203,12.740232887058076
2010 Sep,540859,13.200913895393313
2010 Oct,544412,13.207461592132237
2010 Nov,456304,13.030914533039684
2010 Dec,285574,12.562256468888934
2011 Jan,403178,12.907133430758591
2011 Feb,398292,12.89494068360523
2011 Mar,556155,13.228802311360056
2011 Apr,673639,13.42044963809647
2011 May,722072,13.489880135894646
2011 Jun,638717,13.367216755760364
2011 Jul,708454,13.470840410105307
2011 Aug,642440,13.373028706176834
2011 Sep,684780,13.436852897775701
2011 Oct,708802,13.471331499939456
2011 Nov,597191,13.299992274205415
2011 Dec,408729,12.920807623727011
2012 Jan,494325,13.11094847458903
2012 Feb,481826,13.085338332007428
2012 Mar,818209,13.6148730841725
2012 Apr,649473,13.383916543789917
2012 May,926952,13.73965706327209
2012 Jun,858805,13.663297167047132
2012 Jul,1014174,13.829585046045212
2012 Aug,1163171,13.966660454226394
2012 Sep,1015145,13.830542017397772
2012 Oct,856866,13.66103682596128
2012 Nov,726893,13.496534565491016
2012 Dec,513444,13.148896246902305
2013 Jan,565589,13.24562294500197
2013 Feb,516588,13.155000930570369
2013 Mar,504611,13.131543114396594
2013 Apr,658230,13.397309693304106
2013 May,749934,13.527740481640267
2013 Jun,813631,13.609262225252168
2013 Jul,998755,13.814264782307912
2013 Aug,904155,13.714756084853688
2013 Sep,701724,13.461295443306188
2013 Oct,674154,13.42121385044223
2013 Nov,514146,13.150262550796285
2013 Dec,443942,13.003449202250808
2014 Jan,493870,13.110027603643209
2014 Feb,522940,13.167222013712555
2014 Mar,757864,13.538259229001834
2014 Apr,805571,13.599306621724644
2014 May,890709,13.699773053781172
2014 Jun,1052573,13.866748200803306
2014 Jul,1183182,13.983717977281264
2014 Aug,1055206,13.86924656649493
2014 Sep,1058684,13.87253718534299
2014 Oct,907998,13.718997454937833
2014 Nov,715447,13.48066280116095
2014 Dec,579853,13.270529902123299
2015 Jan,583663,13.277079040455646
2015 Feb,549278,13.216359967554684
2015 Mar,701384,13.46081080490821
2015 Apr,838543,13.639421140981803
2015 May,899969,13.71011559726878
2015 Jun,1039768,13.85450816930912
2015 Jul,1134816,13.941981081218213
2015 Aug,1042932,13.857546535309105
2015 Sep,903429,13.713952802639376
2015 Oct,885375,13.693766563055924
2015 Nov,684518,13.43647021993173
2015 Dec,608164,13.318199861417968
2016 Jan,586325,13.281629522329778
2016 Feb,597641,13.30074551821173
2016 Mar,664485,13.406767583517224
2016 Apr,763308,13.54541689853866
2016 May,1013666,13.82908402031278
2016 Jun,963232,13.778049575576198
2016 Jul,1188428,13.988141983383574
2016 Aug,1158393,13.962544257777651
2016 Sep,1053039,13.867190827467295
2016 Oct,945143,13.75909151777907
2016 Nov,711002,13.474430521720944
2016 Dec,658975,13.398440876497975
2017 Jan,638491,13.366862858818974
2017 Feb,618550,13.335133308290978
2017 Mar,819752,13.61675713447214
2017 Apr,917716,13.729643253546696
2017 May,992601,13.80808404959014
2017 Jun,1098294,13.90926862477326
2017 Jul,1131838,13.939353417963481
2017 Aug,994199,13.809692666808367
2017 Sep,934751,13.748035462643548
2017 Oct,973682,13.788840040609266
